"country_id","name","localized_name","code"
"1109","Hokkaido","北海道","01"
"1109","Aomori","青森県","02"
"1109","Iwate","岩手県","03"
"1109","Miyagi","宮城県","04"
"1109","Akita","秋田県","05"
"1109","Yamagata","山形県","06"
"1109","Fukusima","福島県","07"
"1109","Ibaraki","茨城県","08"
"1109","Tochigi","栃木県","09"
"1109","Gunma","群馬県","10"
"1109","Saitama","埼玉県","11"
"1109","Chiba","千葉県","12"
"1109","Tokyo","東京都","13"
"1109","Kanagawa","神奈川県","14"
"1109","Niigata","新潟県","15"
"1109","Toyama","富山県","16"
"1109","Ishikawa","石川県","17"
"1109","Fukui","福井県","18"
"1109","Yamanashi","山梨県","19"
"1109","Nagano","長野県","20"
"1109","Gifu","岐阜県","21"
"1109","Shizuoka","静岡県","22"
"1109","Aichi","愛知県","23"
"1109","Mie","三重県","24"
"1109","Shiga","滋賀県","25"
"1109","Kyoto","京都府","26"
"1109","Osaka","大阪府","27"
"1109","Hyogo","兵庫県","28"
"1109","Nara","奈良県","29"
"1109","Wakayama","和歌山県","30"
"1109","Tottori","鳥取県","31"
"1109","Shimane","島根県","32"
"1109","Okayama","岡山県","33"
"1109","Hiroshima","広島県","34"
"1109","Yamaguchi","山口県","35"
"1109","Tokushima","徳島県","36"
"1109","Kagawa","香川県","37"
"1109","Ehime","愛媛県","38"
"1109","Kochi","高知県","39"
"1109","Fukuoka","福岡県","40"
"1109","Saga","佐賀県","41"
"1109","Nagasaki","長崎県","42"
"1109","Kumamoto","熊本県","43"
"1109","Oita","大分県","44"
"1109","Miyazaki","宮崎県","45"
"1109","Kagoshima","鹿児島県","46"
"1109","Okinawa","沖縄県","47"
